Row,WBN_GC_L_0.25,WBN_GC_H_0.25,WBN_GC_L_0.50,WBN_GC_H_0.50,WBN_GC_L_0.75,WBN_GC_H_0.75,WBN_GC_L_1.00,WBN_GC_H_1.00,WBN_EN_L_0.25,WBN_EN_H_0.25,WBN_EN_L_0.50,WBN_EN_H_0.50,WBN_EN_L_0.75,WBN_EN_H_0.75,WBN_EN_L_1.00,WBN_EN_H_1.00,WBN_LP_L_0.25,WBN_LP_H_0.25,WBN_LP_L_0.50,WBN_LP_H_0.50,WBN_LP_L_0.75,WBN_LP_H_0.75,WBN_LP_L_1.00,WBN_LP_H_1.00
5388992,-2.4001,1.98339,-2.52864,2.50835,-2.77348,3.21182,-3.30634,4.06298,-0.816845,1.28522,-1.63762,2.09576,-2.46003,3.01298,-3.28329,3.95151,-1.11761,1.03637,-1.76667,1.93376,-2.48897,2.87903,-3.29276,3.82812
5388983,-2.4001,1.9824,-2.52868,2.50398,-2.7755,3.20018,-3.31109,4.0469,-0.816844,1.27442,-1.63761,2.08434,-2.46,3.00111,-3.28321,3.93835,-1.11619,1.05325,-1.76411,1.94087,-2.48859,2.88275,-3.2885,3.82951
663143,-2.4165,1.3289,-2.5391,2.05778,-2.77262,2.88834,-3.32654,3.74638,-0.775869,1.48248,-1.56558,2.26846,-2.36278,3.10632,-3.16448,3.96505,-0.888148,1.09763,-1.59777,1.9458,-2.36868,2.81646,-3.16047,3.69587
10607,-2.38337,2.17677,-2.52643,2.33232,-2.81062,3.10103,-3.291,3.93011,-0.80811,1.21756,-1.62494,1.89325,-2.44451,2.72818,-3.26531,3.59054,-0.879145,1.05164,-1.61471,1.89122,-2.41464,2.75206,-3.22585,3.61988
5388972,-2.29039,1.97468,-2.41743,2.46177,-2.68132,3.15961,-3.14893,3.98502,-0.769068,1.27952,-1.54574,2.03271,-2.32612,2.88974,-3.10852,3.77415,-1.03151,1.14922,-1.72823,2.00489,-2.46848,2.88041,-3.22106,3.76656
11970251,-2.29039,2.22488,-2.41748,2.56161,-2.6817,3.16221,-3.13869,3.94209,-0.768509,1.28112,-1.54437,2.00617,-2.32383,2.83543,-3.10526,3.69523,-1.0632,1.12871,-1.74683,1.95796,-2.48275,2.80657,-3.23274,3.66682
6603320,-2.38652,1.41085,-2.52737,2.13009,-2.79962,2.92687,-3.29392,3.75381,-0.793191,1.13173,-1.59628,1.8359,-2.40248,2.67103,-3.21004,3.52391,-0.790959,0.931573,-1.58768,1.77866,-2.39427,2.63749,-3.20259,3.49843
5389565,-2.39805,1.60857,-2.52549,2.26565,-2.76307,3.02946,-3.23421,3.85038,-0.774691,1.47155,-1.56711,2.24139,-2.36793,3.0661,-3.17242,3.91428,-0.876397,1.07459,-1.62019,1.90315,-2.41952,2.76355,-3.22511,3.63594
62770,-2.39805,1.50766,-2.52544,2.35516,-2.76527,3.24695,-3.30855,4.15312,-0.84598,1.2154,-1.71021,1.99607,-2.57981,2.89171,-3.45169,3.80616,-1.05937,0.939705,-1.77666,1.85185,-2.64508,2.77371,-3.51799,3.69771
662572,-2.39865,1.43046,-2.52649,2.00541,-2.7615,2.7969,-3.42506,3.63177,-0.761185,1.44855,-1.53465,2.21214,-2.31343,3.04141,-3.09617,3.89233,-0.896487,1.04104,-1.62979,1.8889,-2.41551,2.7536,-3.21451,3.62319
658276,-2.39884,1.3571,-2.52846,2.11228,-2.77923,2.9535,-3.50035,3.82308,-0.768859,1.53622,-1.56405,2.37018,-2.37905,3.23137,-3.20935,4.10631,-1.07995,1.07156,-1.90839,1.90592,-2.75493,2.77447,-3.60986,3.65777
4622,-2.41599,2.25998,-2.53748,2.5869,-2.76776,3.09314,-3.24865,3.8871,-0.783956,1.33862,-1.5962,2.12398,-2.41629,2.98207,-3.23955,3.86193,-0.813017,1.16391,-1.47008,2.04364,-2.29079,2.93771,-3.11552,3.83512
4030,-2.18288,2.26001,-2.30272,2.58736,-2.53485,3.09519,-3.26075,3.89472,-0.804437,1.33959,-1.63145,2.13069,-2.46549,2.99898,-3.30248,3.89082,-0.813036,1.18887,-1.51707,2.08615,-2.32525,2.99414,-3.15552,3.90498
443939,-2.39805,1.54774,-2.52544,2.3604,-2.76528,3.25128,-3.30851,4.15745,-0.845975,1.21732,-1.7102,1.99819,-2.5798,2.89403,-3.45167,3.8088,-1.06342,0.939436,-1.77719,1.85181,-2.64519,2.77399,-3.51804,3.69835
657713,-2.38337,1.57421,-2.52637,2.30852,-2.81102,3.12273,-3.56452,3.97524,-0.807674,1.36434,-1.6342,2.14818,-2.47104,2.99502,-3.31521,3.86593,-1.03876,1.0384,-1.83313,1.89114,-2.6733,2.77263,-3.52565,3.66354
657314,-2.28304,1.8588,-2.40739,2.27189,-2.65885,2.84345,-3.06759,3.49151,-0.651053,1.21314,-1.32301,1.81258,-2.01033,2.48961,-2.70599,3.19501,-0.820635,1.03494,-1.46534,1.67539,-2.148,2.36197,-2.84353,3.07436
2082,-2.18287,2.25996,-2.30269,2.58661,-2.53472,3.08076,-3.19988,3.83724,-0.785849,1.33801,-1.59921,2.12235,-2.41986,2.97984,-3.24344,3.8594,-0.813017,1.18169,-1.43915,2.06715,-2.23994,2.96275,-3.06481,3.86085
3334,-2.18287,2.25999,-2.3027,2.58698,-2.53474,3.08486,-3.20783,3.8516,-0.787789,1.33852,-1.60319,2.12545,-2.42569,2.98701,-3.25106,3.87117,-0.813018,1.18905,-1.43931,2.08035,-2.24273,2.98107,-3.06917,3.8842
661140,-1.48617,1.38544,-1.98621,2.01144,-2.76802,2.82956,-3.58445,3.68678,-0.775657,1.36453,-1.56725,2.1486,-2.38241,2.99269,-3.21592,3.85725,-1.04114,1.11657,-1.83312,1.92916,-2.67022,2.76825,-3.51823,3.62751
661645,-2.36132,1.2575,-2.62117,2.0514,-3.01267,2.90351,-3.58519,3.77348,-0.770678,1.36434,-1.5647,2.14945,-2.39557,2.99806,-3.23849,3.8694,-1.03957,1.10855,-1.83642,1.92026,-2.6775,2.76725,-3.52934,3.63878
658734,-1.53196,1.33285,-1.92485,2.18131,-2.61254,3.09557,-3.38238,4.02975,-0.8191,1.327,-1.65476,2.1661,-2.49764,3.08658,-3.34449,4.02683,-0.929664,1.22779,-1.6826,2.16085,-2.49985,3.10765,-3.33653,4.05868
6400935,-2.33504,1.50182,-2.59219,2.16396,-2.98972,2.98174,-3.51982,3.82628,-0.77173,1.42636,-1.5488,2.17196,-2.32792,3.00086,-3.10811,3.85821,-1.04199,1.0838,-1.77948,1.92146,-2.56547,2.78447,-3.36684,3.65686
