surf_id,surf_scores,surf_actives,icm_id,icm_scores,icm_actives,vina_id,vina_scores,vina_actives,minr_id,minr_scores,minr_actives,maxz_id,maxz_scores,maxz_actives
decoy1,11.36,0,decoy1,34.516009,0,decoy1,12.5,0,decoy1,242,0,decoy1,1.0733564654817644,0
decoy10,6.67,0,decoy10,18.109909,0,decoy10,9.4,0,decoy10,2488,0,decoy10,-0.45516397080425186,0
decoy100,7.79,0,decoy100,42.147383,0,decoy100,9,0,decoy100,53,0,decoy100,1.5396820339626196,0
decoy1000,6.31,0,decoy1000,30.205394,0,decoy1000,10.4,0,decoy1000,673,0,decoy1000,0.5486282715905864,0
decoy1001,8.73,0,decoy1001,44.802625,0,decoy1001,11.1,0,decoy1001,32,0,decoy1001,1.760037920583202,0
decoy1002,8.4,0,decoy1002,27.184312,0,decoy1002,11.4,0,decoy1002,1120,0,decoy1002,0.29791168806882745,0
decoy1003,10.14,0,decoy1003,30.603054,0,decoy1003,11.7,0,decoy1003,551,0,decoy1003,0.6330929017433732,0
decoy1004,7.56,0,decoy1004,33.895955,0,decoy1004,11.5,0,decoy1004,317,0,decoy1004,0.8549042499316731,0
decoy1005,8.11,0,decoy1005,20.218506,0,decoy1005,9.9,0,decoy1005,1888,0,decoy1005,-0.09947679857542648,0
decoy1006,7.62,0,decoy1006,19.194427,0,decoy1006,12.4,0,decoy1006,2250,0,decoy1006,-0.276303967617895,0
decoy1007,7.83,0,decoy1007,24.883543,0,decoy1007,10.4,0,decoy1007,1500,0,decoy1007,0.10697316235096423,0
decoy1008,8.19,0,decoy1008,24.411728,0,decoy1008,9.7,0,decoy1008,1584,0,decoy1008,0.06781770584421647,0
decoy1009,6.96,0,decoy1009,28.455337,0,decoy1009,10.3,0,decoy1009,905,0,decoy1009,0.403392785758577,0
decoy101,6.12,0,decoy101,21.288465,0,decoy101,9.7,0,decoy101,2069,0,decoy101,-0.19137877700527914,0
decoy1010,8.69,0,decoy1010,30.866043,0,decoy1010,11.7,0,decoy1010,592,0,decoy1010,0.6034548735123705,0
decoy1011,8.97,0,decoy1011,33.163137,0,decoy1011,11.8,0,decoy1011,382,0,decoy1011,0.79408841464377,0
decoy1012,10.19,0,decoy1012,26.272802,0,decoy1012,12.7,0,decoy1012,529,0,decoy1012,0.6511364904211757,0
decoy1013,8.52,0,decoy1013,20.541679,0,decoy1013,10.8,0,decoy1013,1591,0,decoy1013,0.04848062858255765,0
decoy1014,8.23,0,decoy1014,41.645552,0,decoy1014,11.9,0,decoy1014,60,0,decoy1014,1.4980355795382423,0
